datetime,temperature,humidite,precipitation,heure,minute,seconde
2022-01-13 00:49:42.291145572,12.0,81.2,0.0,00,49,42
2022-01-13 09:34:50.845422711,11.4,83.7,0.094,09,34,50
2022-01-13 18:19:59.399699850,11.5,86.9,0.0,18,19,59
2022-01-14 03:05:07.953976988,10.4,88.8,0.0,03,05,07
2022-01-14 11:50:16.508254127,11.5,81.4,0.094,11,50,16
2022-01-14 20:35:25.062531265,16.4,52.5,0.121,20,35,25
2022-01-15 05:20:33.616808404,15.0,70.9,1.049,05,20,33
2022-01-15 14:05:42.171085542,13.5,76.4,4.339,14,05,42
2022-01-15 22:50:50.725362681,14.4,66.1,0.6,22,50,50
2022-01-16 07:35:59.279639820,5.0,77.1,7.6,07,35,59
2022-01-16 16:21:07.833916958,1.1,61.7,0.0,16,21,07
2022-01-17 01:06:16.388194097,0.2,94.3,14.613,01,06,16
2022-01-17 09:51:24.942471235,1.2,86.9,8.273,09,51,24
2022-01-17 18:36:33.496748374,0.5,73.4,3.527,18,36,33
2022-01-18 03:21:42.051025512,0.6,79.8,3.033,03,21,42
2022-01-18 12:06:50.605302651,3.7,74.4,2.058,12,06,50
2022-01-18 20:51:59.159579790,3.6,74.5,0.087,20,51,59
2022-01-19 05:37:07.713856928,3.0,68.8,0.0,05,37,07
2022-01-19 14:22:16.268134067,5.3,66.4,0.0,14,22,16
2022-01-19 23:07:24.822411205,5.2,75.5,0.0,23,07,24
2022-01-20 07:52:33.376688344,6.5,80.4,0.0,07,52,33
2022-01-20 16:37:41.930965482,6.9,82.3,0.0,16,37,41
2022-01-21 01:22:50.485242621,8.0,80.9,0.32,01,22,50
2022-01-21 10:07:59.039519760,8.4,74.9,0.0,10,07,59
2022-01-21 18:53:07.593796898,7.9,80.2,0.018,18,53,07
2022-01-22 03:38:16.148074037,8.0,73.3,0.116,03,38,16
2022-01-22 12:23:24.702351175,5.7,78.3,0.345,12,23,24
2022-01-22 21:08:33.256628314,5.8,84.6,4.892,21,08,33
2022-01-23 05:53:41.810905452,5.6,79.0,1.149,05,53,41
2022-01-23 14:38:50.365182591,5.5,76.9,0.018,14,38,50
2022-01-23 23:23:58.919459730,10.4,62.1,0.0,23,23,58
2022-01-24 08:09:07.473736868,9.6,78.5,4.495,08,09,07
2022-01-24 16:54:16.028014007,5.4,71.4,6.61,16,54,16
2022-01-25 01:39:24.582291145,5.0,72.2,0.0,01,39,24
2022-01-25 10:24:33.136568284,7.6,74.9,0.0,10,24,33
2022-01-25 19:09:41.690845422,9.0,76.0,0.02,19,09,41
2022-01-26 03:54:50.245122561,6.5,78.2,7.658,03,54,50
2022-01-26 12:39:58.799399700,5.6,63.1,0.0,12,39,58
2022-01-26 21:25:07.353676838,8.5,70.0,0.0,21,25,07
2022-01-27 06:10:15.907953977,10.2,71.7,0.0,06,10,15
2022-01-27 14:55:24.462231115,12.4,68.5,0.0,14,55,24
2022-01-27 23:40:33.016508254,10.2,76.1,4.163,23,40,33
2022-01-28 08:25:41.570785393,7.1,79.7,2.435,08,25,41
2022-01-28 17:10:50.125062531,7.0,77.5,2.007,17,10,50
2022-01-29 01:55:58.679339670,7.8,80.5,3.055,01,55,58
2022-01-29 10:41:07.233616808,8.0,78.8,3.001,10,41,07
2022-01-29 19:26:15.787893947,6.6,87.2,14.27,19,26,15
2022-01-30 04:11:24.342171085,8.3,88.0,10.129,04,11,24
2022-01-30 12:56:32.896448224,5.9,84.9,14.55,12,56,32
2022-01-30 21:41:41.450725363,4.0,70.4,4.118,21,41,41
2022-01-31 06:26:50.005002501,3.9,69.7,0.268,06,26,50
2022-01-31 15:11:58.559279640,5.9,65.9,0.323,15,11,58
2022-01-31 23:57:07.113556778,8.9,65.4,0.0,23,57,07
2022-02-01 08:42:15.667833917,9.1,66.7,0.0,08,42,15
2022-02-01 17:27:24.222111055,10.1,64.0,0.051,17,27,24
2022-02-02 02:12:32.776388194,7.0,73.9,3.423,02,12,32
2022-02-02 10:57:41.330665333,8.0,74.0,0.365,10,57,41
2022-02-02 19:42:49.884942471,7.5,67.8,0.027,19,42,49
2022-02-03 04:27:58.439219610,9.0,74.6,0.0,04,27,58
2022-02-03 13:13:06.993496748,14.4,64.2,0.144,13,13,06
2022-02-03 21:58:15.547773887,11.8,79.1,0.679,21,58,15
2022-02-04 06:43:24.102051025,7.9,88.5,15.531,06,43,24
2022-02-04 15:28:32.656328164,12.4,82.1,2.338,15,28,32
2022-02-05 00:13:41.210605303,14.6,72.9,0.0,00,13,41
2022-02-05 08:58:49.764882441,6.5,84.8,14.418,08,58,49
2022-02-05 17:43:58.319159580,6.9,68.4,3.83,17,43,58
2022-02-06 02:29:06.873436718,7.1,65.0,0.0,02,29,06
2022-02-06 11:14:15.427713857,7.7,64.3,0.018,11,14,15
2022-02-06 19:59:23.981990995,10.3,58.7,0.0,19,59,23
2022-02-07 04:44:32.536268134,12.4,58.3,0.0,04,44,32
2022-02-07 13:29:41.090545272,15.0,64.6,0.697,13,29,41
2022-02-07 22:14:49.644822411,11.7,73.6,0.229,22,14,49
2022-02-08 06:59:58.199099550,11.0,70.2,0.185,06,59,58
2022-02-08 15:45:06.753376688,11.2,72.6,0.613,15,45,06
2022-02-09 00:30:15.307653827,11.1,85.4,0.0,00,30,15
2022-02-09 09:15:23.861930965,11.3,87.4,1.479,09,15,23
2022-02-09 18:00:32.416208104,12.5,77.6,0.007,18,00,32
2022-02-10 02:45:40.970485242,12.7,74.9,0.0,02,45,40
2022-02-10 11:30:49.524762381,13.6,73.2,0.0,11,30,49
2022-02-10 20:15:58.079039520,15.2,65.4,0.0,20,15,58
2022-02-11 05:01:06.633316658,13.9,80.4,0.328,05,01,06
2022-02-11 13:46:15.187593797,11.1,79.9,0.69,13,46,15
2022-02-11 22:31:23.741870935,12.1,67.8,0.023,22,31,23
2022-02-12 07:16:32.296148074,13.3,63.4,0.0,07,16,32
2022-02-12 16:01:40.850425212,15.1,66.9,0.0,16,01,40
2022-02-13 00:46:49.404702351,15.0,73.2,0.049,00,46,49
2022-02-13 09:31:57.958979490,17.2,70.0,0.0,09,31,57
2022-02-13 18:17:06.513256628,20.5,60.8,0.0,18,17,06
2022-02-14 03:02:15.067533767,22.5,57.0,0.0,03,02,15
2022-02-14 11:47:23.621810905,21.6,57.2,0.0,11,47,23
2022-02-14 20:32:32.176088044,19.0,61.0,0.0,20,32,32
2022-02-15 05:17:40.730365182,17.2,65.6,0.0,05,17,40
2022-02-15 14:02:49.284642321,17.5,75.8,0.43,14,02,49
2022-02-15 22:47:57.838919460,20.4,60.9,0.0,22,47,57
2022-02-16 07:33:06.393196598,18.0,72.2,2.45,07,33,06
2022-02-16 16:18:14.947473737,14.6,62.7,0.033,16,18,14
2022-02-17 01:03:23.501750875,13.7,60.8,0.0,01,03,23
2022-02-17 09:48:32.056028014,14.3,60.3,0.0,09,48,32
2022-02-17 18:33:40.610305152,15.3,60.9,0.0,18,33,40
2022-02-18 03:18:49.164582291,17.0,54.3,0.0,03,18,49
2022-02-18 12:03:57.718859430,19.8,61.0,0.0,12,03,57
2022-02-18 20:49:06.273136568,19.5,62.0,0.0,20,49,06
2022-02-19 05:34:14.827413707,18.9,68.4,0.975,05,34,14
2022-02-19 14:19:23.381690845,18.5,74.2,0.798,14,19,23
2022-02-19 23:04:31.935967984,18.7,71.2,2.787,23,04,31
2022-02-20 07:49:40.490245122,20.5,54.7,0.807,07,49,40
2022-02-20 16:34:49.044522261,21.2,56.7,0.0,16,34,49
2022-02-21 01:19:57.598799400,15.5,80.9,9.382,01,19,57
2022-02-21 10:05:06.153076538,15.9,78.3,2.194,10,05,06
2022-02-21 18:50:14.707353677,18.0,68.5,0.0,18,50,14
2022-02-22 03:35:23.261630816,20.0,67.8,0.0,03,35,23
2022-02-22 12:20:31.815907954,20.3,61.3,0.018,12,20,31
2022-02-22 21:05:40.370185093,19.0,69.4,0.0,21,05,40
2022-02-23 05:50:48.924462231,18.2,77.4,0.362,05,50,48
2022-02-23 14:35:57.478739370,18.7,77.5,0.0,14,35,57
2022-02-23 23:21:06.033016508,17.7,82.1,0.503,23,21,06
2022-02-24 08:06:14.587293647,19.3,75.1,0.024,08,06,14
2022-02-24 16:51:23.141570786,18.4,77.4,0.949,16,51,23
2022-02-25 01:36:31.695847924,16.5,80.8,16.067,01,36,31
2022-02-25 10:21:40.250125063,14.9,73.9,0.896,10,21,40
2022-02-25 19:06:48.804402201,16.6,77.4,0.828,19,06,48
2022-02-26 03:51:57.358679340,17.7,72.7,0.028,03,51,57
2022-02-26 12:37:05.912956478,17.7,67.3,0.0,12,37,05
2022-02-26 21:22:14.467233617,19.8,62.6,0.0,21,22,14
2022-02-27 06:07:23.021510756,20.6,62.7,0.0,06,07,23
2022-02-27 14:52:31.575787894,21.0,65.4,0.572,14,52,31
2022-02-27 23:37:40.130065033,21.6,62.8,0.0,23,37,40
2022-02-28 08:22:48.684342171,21.9,71.9,0.018,08,22,48
2022-02-28 17:07:57.238619310,22.2,69.6,0.0,17,07,57
2022-03-01 01:53:05.792896448,22.1,72.0,0.207,01,53,05
2022-03-01 10:38:14.347173587,21.5,74.6,0.18,10,38,14
2022-03-01 19:23:22.901450726,18.5,71.9,8.059,19,23,22
2022-03-02 04:08:31.455727864,17.4,76.4,8.001,04,08,31
2022-03-02 12:53:40.010005003,17.7,84.8,9.557,12,53,40
2022-03-02 21:38:48.564282141,19.8,82.7,0.849,21,38,48
2022-03-03 06:23:57.118559280,20.4,84.4,0.87,06,23,57
2022-03-03 15:09:05.672836418,20.7,87.4,16.536,15,09,05
2022-03-03 23:54:14.227113557,21.8,79.4,0.054,23,54,14
2022-03-04 08:39:22.781390696,21.9,76.0,0.0,08,39,22
2022-03-04 17:24:31.335667834,23.0,73.1,0.0,17,24,31
2022-03-05 02:09:39.889944973,23.2,76.6,2.251,02,09,39
2022-03-05 10:54:48.444222111,23.3,77.0,0.0,10,54,48
2022-03-05 19:39:56.998499250,25.0,81.7,0.047,19,39,56
2022-03-06 04:25:05.552776388,25.5,76.9,0.0,04,25,05
2022-03-06 13:10:14.107053527,26.0,71.5,0.0,13,10,14
2022-03-06 21:55:22.661330666,25.9,73.0,0.0,21,55,22
2022-03-07 06:40:31.215607804,26.0,69.4,0.0,06,40,31
2022-03-07 15:25:39.769884943,26.1,66.3,0.018,15,25,39
2022-03-08 00:10:48.324162081,27.0,60.0,0.018,00,10,48
2022-03-08 08:55:56.878439220,26.7,66.2,0.0,08,55,56
2022-03-08 17:41:05.432716358,24.8,72.1,1.635,17,41,05
2022-03-09 02:26:13.986993497,23.5,66.1,0.415,02,26,13
2022-03-09 11:11:22.541270636,25.3,66.5,0.196,11,11,22
2022-03-09 19:56:31.095547774,22.7,82.3,8.475,19,56,31
2022-03-10 04:41:39.649824913,24.0,82.5,0.0,04,41,39
2022-03-10 13:26:48.204102051,24.3,78.3,1.032,13,26,48
2022-03-10 22:11:56.758379190,25.6,70.3,0.0,22,11,56
2022-03-11 06:57:05.312656328,25.7,68.6,0.0,06,57,05
2022-03-11 15:42:13.866933467,26.1,72.5,0.0,15,42,13
2022-03-12 00:27:22.421210606,26.1,74.9,0.0,00,27,22
2022-03-12 09:12:30.975487744,26.9,67.2,0.0,09,12,30
2022-03-12 17:57:39.529764883,26.0,75.3,0.0,17,57,39
2022-03-13 02:42:48.084042021,27.6,67.4,0.0,02,42,48
2022-03-13 11:27:56.638319160,27.7,68.2,0.0,11,27,56
2022-03-13 20:13:05.192596298,27.5,76.7,0.0,20,13,05
2022-03-14 04:58:13.746873437,27.8,75.2,0.0,04,58,13
2022-03-14 13:43:22.301150575,27.5,79.9,0.0,13,43,22
2022-03-14 22:28:30.855427714,27.3,74.1,0.0,22,28,30
2022-03-15 07:13:39.409704853,27.3,66.8,0.482,07,13,39
2022-03-15 15:58:47.963981991,24.9,64.3,0.147,15,58,47
2022-03-16 00:43:56.518259130,24.8,59.3,0.025,00,43,56
2022-03-16 09:29:05.072536268,24.2,61.8,0.83,09,29,05
2022-03-16 18:14:13.626813407,25.2,64.2,0.018,18,14,13
2022-03-17 02:59:22.181090545,26.1,66.6,0.0,02,59,22
2022-03-17 11:44:30.735367684,26.5,69.6,0.0,11,44,30
2022-03-17 20:29:39.289644823,28.0,64.6,0.018,20,29,39
2022-03-18 05:14:47.843921961,28.6,57.0,0.0,05,14,47
2022-03-18 13:59:56.398199100,28.8,46.1,0.0,13,59,56
2022-03-18 22:45:04.952476238,29.3,52.2,0.0,22,45,04
2022-03-19 07:30:13.506753377,29.3,59.7,0.0,07,30,13
2022-03-19 16:15:22.061030515,29.0,49.4,0.0,16,15,22
2022-03-20 01:00:30.615307654,29.0,60.9,0.0,01,00,30
2022-03-20 09:45:39.169584793,28.4,73.8,0.0,09,45,39
2022-03-20 18:30:47.723861931,29.1,60.9,0.0,18,30,47
2022-03-21 03:15:56.278139070,29.5,51.0,0.0,03,15,56
2022-03-21 12:01:04.832416208,26.5,60.7,0.016,12,01,04
2022-03-21 20:46:13.386693347,26.0,59.4,0.0,20,46,13
2022-03-22 05:31:21.940970485,25.1,64.7,0.0,05,31,21
2022-03-22 14:16:30.495247624,25.9,60.7,0.027,14,16,30
2022-03-22 23:01:39.049524763,26.5,62.7,0.0,23,01,39
2022-03-23 07:46:47.603801901,26.7,64.8,0.004,07,46,47
2022-03-23 16:31:56.158079040,26.3,61.7,0.0,16,31,56
2022-03-24 01:17:04.712356178,25.5,54.2,0.0,01,17,04
2022-03-24 10:02:13.266633317,25.3,58.1,0.0,10,02,13
2022-03-24 18:47:21.820910455,25.1,61.0,0.0,18,47,21
2022-03-25 03:32:30.375187594,26.1,68.9,0.0,03,32,30
2022-03-25 12:17:38.929464733,26.6,70.3,0.0,12,17,38
2022-03-25 21:02:47.483741871,25.2,73.2,0.877,21,02,47
2022-03-26 05:47:56.038019010,24.4,55.4,0.245,05,47,56
2022-03-26 14:33:04.592296148,24.4,59.2,0.0,14,33,04
2022-03-26 23:18:13.146573287,25.2,65.3,0.0,23,18,13
2022-03-27 08:03:21.700850425,25.6,69.0,0.18,08,03,21
2022-03-27 16:48:30.255127564,25.6,67.8,0.0,16,48,30
2022-03-28 01:33:38.809404703,25.8,73.9,0.0,01,33,38
2022-03-28 10:18:47.363681841,25.5,74.3,0.0,10,18,47
2022-03-28 19:03:55.917958980,27.2,63.5,0.0,19,03,55
2022-03-29 03:49:04.472236118,27.7,63.7,0.0,03,49,04
2022-03-29 12:34:13.026513257,26.8,76.6,0.0,12,34,13
2022-03-29 21:19:21.580790395,25.4,77.8,0.0,21,19,21
2022-03-30 06:04:30.135067534,25.8,62.3,0.0,06,04,30
2022-03-30 14:49:38.689344673,24.9,61.5,0.0,14,49,38
2022-03-30 23:34:47.243621811,22.9,55.9,0.108,23,34,47
2022-03-31 08:19:55.797898950,20.7,63.5,3.522,08,19,55
2022-03-31 17:05:04.352176088,21.1,60.9,0.0,17,05,04
2022-04-01 01:50:12.906453227,22.4,59.7,0.023,01,50,12
2022-04-01 10:35:21.460730365,22.5,60.7,0.51,10,35,21
2022-04-01 19:20:30.015007504,20.9,58.2,0.0,19,20,30
2022-04-02 04:05:38.569284643,21.0,62.6,0.0,04,05,38
2022-04-02 12:50:47.123561781,21.5,69.6,0.136,12,50,47
2022-04-02 21:35:55.677838920,20.4,77.8,2.32,21,35,55
2022-04-03 06:21:04.232116058,19.8,76.6,2.075,06,21,04
2022-04-03 15:06:12.786393197,20.3,69.8,0.0,15,06,12
2022-04-03 23:51:21.340670335,21.5,71.0,0.0,23,51,21
2022-04-04 08:36:29.894947474,21.8,74.8,0.0,08,36,29
2022-04-04 17:21:38.449224613,22.2,73.9,0.0,17,21,38
2022-04-05 02:06:47.003501751,22.5,75.8,0.0,02,06,47
2022-04-05 10:51:55.557778890,22.3,63.1,0.0,10,51,55
2022-04-05 19:37:04.112056028,24.6,58.5,0.068,19,37,04
2022-04-06 04:22:12.666333167,23.1,72.6,0.732,04,22,12
2022-04-06 13:07:21.220610305,24.7,66.2,0.0,13,07,21
2022-04-06 21:52:29.774887444,21.1,69.0,0.0,21,52,29
2022-04-07 06:37:38.329164583,18.2,62.2,0.049,06,37,38
2022-04-07 15:22:46.883441721,14.6,76.1,11.461,15,22,46
2022-04-08 00:07:55.437718860,16.7,64.9,0.126,00,07,55
2022-04-08 08:53:03.991995998,20.1,70.4,0.0,08,53,03
2022-04-08 17:38:12.546273137,20.1,61.2,0.0,17,38,12
2022-04-09 02:23:21.100550275,20.3,65.6,0.0,02,23,21
2022-04-09 11:08:29.654827414,19.2,70.3,0.0,11,08,29
2022-04-09 19:53:38.209104553,18.5,70.4,0.567,19,53,38
2022-04-10 04:38:46.763381691,17.7,67.7,2.561,04,38,46
2022-04-10 13:23:55.317658830,15.9,75.7,2.839,13,23,55
2022-04-10 22:09:03.871935968,15.6,78.4,4.192,22,09,03
2022-04-11 06:54:12.426213107,16.6,67.3,0.0,06,54,12
2022-04-11 15:39:20.980490245,17.4,69.6,0.307,15,39,20
2022-04-12 00:24:29.534767384,17.0,65.4,0.0,00,24,29
2022-04-12 09:09:38.089044523,16.2,70.0,0.188,09,09,38
2022-04-12 17:54:46.643321661,16.7,72.8,0.265,17,54,46
2022-04-13 02:39:55.197598800,17.2,77.4,0.024,02,39,55
2022-04-13 11:25:03.751875938,17.1,86.9,6.468,11,25,03
2022-04-13 20:10:12.306153077,16.4,86.3,0.092,20,10,12
2022-04-14 04:55:20.860430215,18.4,82.2,0.018,04,55,20
2022-04-14 13:40:29.414707354,17.4,87.2,3.819,13,40,29
2022-04-14 22:25:37.968984493,14.7,79.1,8.613,22,25,37
2022-04-15 07:10:46.523261632,16.7,74.4,0.0,07,10,46
2022-04-15 15:55:55.077538770,18.1,82.4,0.078,15,55,55
2022-04-16 00:41:03.631815908,18.6,77.7,4.817,00,41,03
2022-04-16 09:26:12.186093046,14.7,90.0,15.794,09,26,12
2022-04-16 18:11:20.740370186,14.7,81.3,0.078,18,11,20
2022-04-17 02:56:29.294647324,14.8,76.6,0.039,02,56,29
2022-04-17 11:41:37.848924462,13.9,73.7,0.0,11,41,37
2022-04-17 20:26:46.403201602,13.7,78.3,0.0,20,26,46
2022-04-18 05:11:54.957478740,16.8,74.8,0.0,05,11,54
2022-04-18 13:57:03.511755878,15.9,82.2,0.0,13,57,03
2022-04-18 22:42:12.066033016,13.3,87.6,2.758,22,42,12
2022-04-19 07:27:20.620310156,12.8,62.0,0.0,07,27,20
2022-04-19 16:12:29.174587294,13.0,64.9,0.0,16,12,29
2022-04-20 00:57:37.728864432,13.7,78.0,0.0,00,57,37
2022-04-20 09:42:46.283141572,14.2,69.5,0.0,09,42,46
2022-04-20 18:27:54.837418710,13.7,71.0,0.0,18,27,54
2022-04-21 03:13:03.391695848,15.0,73.8,0.0,03,13,03
2022-04-21 11:58:11.945972986,14.5,82.1,0.0,11,58,11
2022-04-21 20:43:20.500250126,14.4,89.7,3.485,20,43,20
2022-04-22 05:28:29.054527264,15.2,88.3,8.473,05,28,29
2022-04-22 14:13:37.608804402,17.2,88.2,6.118,14,13,37
2022-04-22 22:58:46.163081542,17.6,82.6,0.018,22,58,46
2022-04-23 07:43:54.717358680,15.7,90.4,0.0,07,43,54
2022-04-23 16:29:03.271635818,14.4,96.8,0.144,16,29,03
2022-04-24 01:14:11.825912956,15.3,90.3,0.146,01,14,11
2022-04-24 09:59:20.380190096,14.8,91.4,0.0,09,59,20
2022-04-24 18:44:28.934467234,14.9,88.7,0.063,18,44,28
2022-04-25 03:29:37.488744372,11.0,68.9,7.018,03,29,37
2022-04-25 12:14:46.043021512,11.0,60.1,0.0,12,14,46
2022-04-25 20:59:54.597298650,11.5,73.2,0.0,20,59,54
2022-04-26 05:45:03.151575788,10.7,77.6,0.0,05,45,03
2022-04-26 14:30:11.705852926,11.2,77.3,0.018,14,30,11
2022-04-26 23:15:20.260130066,13.1,80.2,0.0,23,15,20
2022-04-27 08:00:28.814407204,12.8,74.6,0.0,08,00,28
2022-04-27 16:45:37.368684342,11.2,69.0,0.0,16,45,37
2022-04-28 01:30:45.922961482,11.4,70.6,0.0,01,30,45
2022-04-28 10:15:54.477238620,10.1,76.4,0.512,10,15,54
2022-04-28 19:01:03.031515758,9.2,76.1,0.031,19,01,03
2022-04-29 03:46:11.585792896,10.2,75.6,0.0,03,46,11
2022-04-29 12:31:20.140070036,13.2,73.6,0.0,12,31,20
2022-04-29 21:16:28.694347174,13.9,82.8,16.549,21,16,28
2022-04-30 06:01:37.248624312,11.2,77.5,6.448,06,01,37
2022-04-30 14:46:45.802901452,10.7,71.2,0.038,14,46,45
2022-04-30 23:31:54.357178590,11.5,78.9,0.432,23,31,54
2022-05-01 08:17:02.911455728,15.9,78.1,7.015,08,17,02
2022-05-01 17:02:11.465732866,15.9,76.1,3.148,17,02,11
2022-05-02 01:47:20.020010006,17.7,66.2,10.865,01,47,20
2022-05-02 10:32:28.574287144,11.8,74.5,14.205,10,32,28
2022-05-02 19:17:37.128564282,8.7,67.7,0.098,19,17,37
2022-05-03 04:02:45.682841422,12.2,62.4,0.0,04,02,45
2022-05-03 12:47:54.237118560,15.2,72.6,0.812,12,47,54
2022-05-03 21:33:02.791395698,13.3,81.3,6.687,21,33,02
2022-05-04 06:18:11.345672836,11.7,90.3,0.016,06,18,11
2022-05-04 15:03:19.899949976,14.7,76.2,0.112,15,03,19
2022-05-04 23:48:28.454227114,14.3,76.0,4.856,23,48,28
2022-05-05 08:33:37.008504252,10.3,85.8,3.32,08,33,37
2022-05-05 17:18:45.562781392,11.8,76.6,0.346,17,18,45
2022-05-06 02:03:54.117058530,14.6,64.3,2.056,02,03,54
2022-05-06 10:49:02.671335668,14.6,65.0,8.935,10,49,02
2022-05-06 19:34:11.225612806,14.2,76.9,5.765,19,34,11
2022-05-07 04:19:19.779889946,11.1,89.7,11.265,04,19,19
2022-05-07 13:04:28.334167084,10.6,87.4,2.913,13,04,28
2022-05-07 21:49:36.888444222,6.3,89.4,9.597,21,49,36
2022-05-08 06:34:45.442721362,5.0,90.2,15.667,06,34,45
2022-05-08 15:19:53.996998500,4.9,88.6,3.783,15,19,53
2022-05-09 00:05:02.551275638,5.8,83.9,11.73,00,05,02
2022-05-09 08:50:11.105552776,5.2,76.2,9.981,08,50,11
2022-05-09 17:35:19.659829916,5.6,71.4,0.065,17,35,19
2022-05-10 02:20:28.214107054,4.0,65.7,0.222,02,20,28
2022-05-10 11:05:36.768384192,2.6,66.9,1.337,11,05,36
2022-05-10 19:50:45.322661332,1.7,77.2,0.451,19,50,45
2022-05-11 04:35:53.876938470,5.0,68.3,0.0,04,35,53
2022-05-11 13:21:02.431215608,10.1,65.2,0.0,13,21,02
2022-05-11 22:06:10.985492746,12.3,74.5,0.0,22,06,10
2022-05-12 06:51:19.539769886,13.6,70.1,0.0,06,51,19
2022-05-12 15:36:28.094047024,13.8,64.5,0.0,15,36,28
2022-05-13 00:21:36.648324162,11.7,80.8,3.586,00,21,36
2022-05-13 09:06:45.202601302,12.1,77.5,1.367,09,06,45
2022-05-13 17:51:53.756878440,8.9,85.2,0.036,17,51,53
2022-05-14 02:37:02.311155578,8.9,87.2,0.192,02,37,02
2022-05-14 11:22:10.865432716,9.8,88.3,2.975,11,22,10
2022-05-14 20:07:19.419709856,10.0,80.6,0.0,20,07,19
2022-05-15 04:52:27.973986994,11.3,79.9,0.0,04,52,27
2022-05-15 13:37:36.528264132,12.9,75.2,0.0,13,37,36
2022-05-15 22:22:45.082541272,14.3,73.8,0.0,22,22,45
2022-05-16 07:07:53.636818410,10.4,89.1,0.027,07,07,53
2022-05-16 15:53:02.191095548,10.2,91.1,0.294,15,53,02
2022-05-17 00:38:10.745372686,9.9,88.3,0.0,00,38,10
2022-05-17 09:23:19.299649826,10.5,87.7,0.413,09,23,19
2022-05-17 18:08:27.853926964,9.0,90.0,0.657,18,08,27
2022-05-18 02:53:36.408204102,3.3,87.5,14.612,02,53,36
2022-05-18 11:38:44.962481242,1.8,62.6,0.515,11,38,44
2022-05-18 20:23:53.516758380,2.5,66.7,0.0,20,23,53
2022-05-19 05:09:02.071035518,5.2,63.6,0.0,05,09,02
2022-05-19 13:54:10.625312656,3.3,71.6,1.085,13,54,10
2022-05-19 22:39:19.179589796,5.7,64.9,0.0,22,39,19
2022-05-20 07:24:27.733866934,5.8,59.0,0.642,07,24,27
2022-05-20 16:09:36.288144072,1.6,64.8,1.426,16,09,36
2022-05-21 00:54:44.842421212,5.2,60.2,0.0,00,54,44
2022-05-21 09:39:53.396698350,6.6,80.5,12.372,09,39,53
2022-05-21 18:25:01.950975488,0.8,78.6,6.748,18,25,01
2022-05-22 03:10:10.505252626,-0.5,85.0,1.571,03,10,10
2022-05-22 11:55:19.059529766,-0.7,92.9,6.071,11,55,19
2022-05-22 20:40:27.613806904,-0.5,81.8,10.47,20,40,27
2022-05-23 05:25:36.168084042,-0.7,71.4,119.275,05,25,36
2022-05-23 14:10:44.722361180,3.1,70.4,93.375,14,10,44
2022-05-23 22:55:53.276638320,5.0,68.6,1.659,22,55,53
2022-05-24 07:41:01.830915458,6.3,72.0,31.755,07,41,01
2022-05-24 16:26:10.385192596,4.0,80.1,0.0,16,26,10
2022-05-25 01:11:18.939469736,6.5,64.9,0.0,01,11,18
2022-05-25 09:56:27.493746874,7.2,69.7,0.55,09,56,27
2022-05-25 18:41:36.048024012,7.7,88.4,9.014,18,41,36
